
2026-04-09T06:26:09.689302+00:00,BTC,UP,MEDIUM,70873.32,70872.6572,9e-06,,0.515,0.435,0.95,230.7,1775630032.0,,,31172304396424285582344217708569127194554382227316634102338949316250673614779,1775630032.0,50988365955548544991544057950329763431090715828349912197743073281662227987796,1775715969.323167,,,,
2026-04-09T06:26:51.699884+00:00,BTC,UP,MEDIUM,70842.55,70841.129,2e-05,,0.515,0.435,0.95,188.4,1775630032.0,,,31172304396424285582344217708569127194554382227316634102338949316250673614779,1775630032.0,50988365955548544991544057950329763431090715828349912197743073281662227987796,1775716011.620118,,,,
2026-04-09T06:26:51.700015+00:00,XRP,UP,MEDIUM,1.3285,1.3285,1e-05,,0.53,0.2284,0.7584,188.7,1775630033.0,,,33684711512745542793852427020483219426077436446171519503939120077701480023537,1775630033.0,102549959119649296047642363772833082820727291357451424645834254781291890844670,1775716011.3364797,,,,
2026-04-09T06:26:52.700282+00:00,BTC,UP,MEDIUM,70842.56,70839.8543,3.8e-05,,0.515,0.435,0.95,187.6,1775630032.0,,,31172304396424285582344217708569127194554382227316634102338949316250673614779,1775630032.0,50988365955548544991544057950329763431090715828349912197743073281662227987796,1775716012.4242823,,,,
2026-04-09T06:26:53.702093+00:00,BTC,UP,MEDIUM,70845.58,70843.2991,3.2e-05,,0.515,0.435,0.95,186.4,1775630032.0,,,31172304396424285582344217708569127194554382227316634102338949316250673614779,1775630032.0,50988365955548544991544057950329763431090715828349912197743073281662227987796,1775716013.5893335,,,,
2026-04-09T06:27:08.705938+00:00,BTC,UP,MEDIUM,70852.61,70851.8493,1.1e-05,,0.515,0.435,0.95,171.5,1775630032.0,,,31172304396424285582344217708569127194554382227316634102338949316250673614779,1775630032.0,50988365955548544991544057950329763431090715828349912197743073281662227987796,1775716028.4861221,,,,
2026-04-09T06:27:09.706264+00:00,BTC,UP,MEDIUM,70852.6,70851.8493,1.1e-05,,0.515,0.435,0.95,170.6,1775630032.0,,,31172304396424285582344217708569127194554382227316634102338949316250673614779,1775630032.0,50988365955548544991544057950329763431090715828349912197743073281662227987796,1775716029.353119,,,,
2026-04-09T06:27:10.706596+00:00,BTC,UP,MEDIUM,70852.6,70851.8493,1.1e-05,,0.515,0.435,0.95,169.5,1775630032.0,,,31172304396424285582344217708569127194554382227316634102338949316250673614779,1775630032.0,50988365955548544991544057950329763431090715828349912197743073281662227987796,1775716030.4801223,,,,
2026-04-09T06:27:36.713230+00:00,BTC,UP,MEDIUM,70840.65,70840.45,3e-06,,0.515,0.435,0.95,143.8,1775630032.0,,,31172304396424285582344217708569127194554382227316634102338949316250673614779,1775630032.0,50988365955548544991544057950329763431090715828349912197743073281662227987796,1775716056.1940925,,,,
2026-04-09T06:27:36.713360+00:00,XRP,UP,MEDIUM,1.3288,1.3288,2e-05,,0.53,0.2475,0.7775,143.5,1775630033.0,,,33684711512745542793852427020483219426077436446171519503939120077701480023537,1775630033.0,102549959119649296047642363772833082820727291357451424645834254781291890844670,1775716056.4931188,,,,
2026-04-09T06:27:37.713601+00:00,BTC,UP,MEDIUM,70849.32,70837.6487,0.000165,,0.515,0.435,0.95,142.3,1775630032.0,,,31172304396424285582344217708569127194554382227316634102338949316250673614779,1775630032.0,50988365955548544991544057950329763431090715828349912197743073281662227987796,1775716057.7128763,,,,
